,Age,Gender,Occupation,Location,Shopping Frequency,Shopping Methods,"Online, instore preferences",Influence Factors,Types of Clothing,Brand Preference,Brand Choice Factors,Likeliness of Promotion or Discount,Preferred Types of Promotions or Discounts,Communication Methods,Average Spent,Payment Methods
89,18-24,Female,Student/Undergraduate,Colombo,Multiple times a month,"Physical retail stores, Online fashion stores/ web-sites",Physical retail stores,"Convenience, Personalized shopping experience, Ability to try on products before purchasing",Casual Wear,"No, I explore various brands","Brand reputation and quality, Price and affordability, Trendiness and style",Very likely,"Percentage discounts, Seasonal sales, Loyalty rewards programs","SMS/text messages, Social media updates, In store notifications",Rs.2000-Rs.5000,Credit/Debit Card
90,25-30,Female,"Professional (e.g., Engineer, Doctor, Lawyer, etc.)",Other,Multiple times a month,"Physical retail stores, Online fashion stores/ web-sites",Physical retail stores,"Convenience, Availability of a wide range of options, Competitive pricing","Casual Wear, Formal Wear","No, I explore various brands","Price and affordability, Trendiness and style, Promotions and Discounts",Very likely,"Percentage discounts, Seasonal sales, Free shipping","SMS/text messages, Social media updates, In store notifications",Rs.2000-Rs.5000,"Credit/Debit Card, Mobile Payment Apps"
91,18-24,Female,Student/Undergraduate,Colombo,Once a month,"Physical retail stores, Online fashion stores/ web-sites",Physical retail stores,"Convenience, Availability of a wide range of options, Competitive pricing","Casual Wear, Accessories(e.g.bags,jewellary","No, I explore various brands","Price and affordability, Brand's commitment to sustainability, Trendiness and style",Very likely,"Percentage discounts, Seasonal sales, Loyalty rewards programs","SMS/text messages, Social media updates, In store notifications",Less than Rs.2000,"Credit/Debit Card, Cash"
92,18-24,Female,Student/Undergraduate,Other,Once a month,"Physical retail stores, Online fashion stores/ web-sites",Equally prefer both,"Availability of a wide range of options, Personalized shopping experience, Competitive pricing","Casual Wear, Accessories(e.g.bags,jewellary","No, I explore various brands","Brand reputation and quality, Price and affordability, Trendiness and style",Very likely,"Percentage discounts, Seasonal sales, Loyalty rewards programs","Email newsletters, SMS/text messages, Social media updates",Rs.2000-Rs.5000,"Credit/Debit Card, Cash"
93,18-24,Male,Student/Undergraduate,Piliyandala,Multiple times a month,"Physical retail stores, Department stores",Physical retail stores,"Convenience, Personalized shopping experience, Competitive pricing","Casual Wear, Formal Wear","Yes, I have preferred brands","Brand reputation and quality, Price and affordability, Trendiness and style",Likely,"Percentage discounts, Seasonal sales, Loyalty rewards programs","Email newsletters, SMS/text messages, Social media updates",Rs.5000-Rs.10000,"Credit/Debit Card, Cash"
94,More than 45,Female,Self-Employed/Entrepreneur,Piliyandala,Multiple times a month,"Physical retail stores, Thrift/ Second Hand shops",Physical retail stores,"Availability of a wide range of options, Competitive pricing, Environmental considerations (eg. reduce carbon emission)",Casual Wear,"Yes, I have preferred brands","Brand reputation and quality, Price and affordability, Promotions and Discounts",Very likely,"Percentage discounts, Buy-one-get-one(BOGO) deals, Loyalty rewards programs","SMS/text messages, Social media updates, Leaflets",Rs.2000-Rs.5000,Credit/Debit Card
95,18-24,Male,Student/Undergraduate,Kotte,Once a month,"Physical retail stores, Online fashion stores/ web-sites",Depends on the occasion,"Availability of a wide range of options, Personalized shopping experience, Competitive pricing",Casual Wear,"No, I explore various brands","Brand reputation and quality, Price and affordability, Promotions and Discounts",Likely,"Percentage discounts, Buy-one-get-one(BOGO) deals, Free shipping","SMS/text messages, Social media updates, In store notifications",Rs.2000-Rs.5000,"Cash, Online Payment Platforms"
96,More than 45,Male,Self-Employed/Entrepreneur,Other,Rarely,"Physical retail stores, Boutiques",Physical retail stores,"Convenience, Availability of a wide range of options, Competitive pricing",Casual Wear,"Yes, I have preferred brands","Brand reputation and quality, Price and affordability, Promotions and Discounts",Likely,"Percentage discounts, Buy-one-get-one(BOGO) deals, Loyalty rewards programs","Email newsletters, SMS/text messages, Leaflets",Rs.2000-Rs.5000,Credit/Debit Card
97,18-24,Male,Student/Undergraduate,Colombo,Rarely,"Physical retail stores, Department stores",Physical retail stores,"Personalized shopping experience, Competitive pricing, Ability to try on products before purchasing",Casual Wear,"Yes, I have preferred brands","Brand reputation and quality, Price and affordability, Trendiness and style",Very likely,"Percentage discounts, Seasonal sales, Free shipping","Email newsletters, SMS/text messages, Social media updates",Rs.2000-Rs.5000,Cash
98,18-24,Male,Student/Undergraduate,Kotte,Once a month,"Physical retail stores, Online fashion stores/ web-sites",Depends on the occasion,"Availability of a wide range of options, Personalized shopping experience, Ability to try on products before purchasing","Casual Wear, Formal Wear","No, I explore various brands","Brand reputation and quality, Price and affordability, Promotions and Discounts",Likely,"Percentage discounts, Buy-one-get-one(BOGO) deals, Free shipping","SMS/text messages, Social media updates, In store notifications",Rs.5000-Rs.10000,"Credit/Debit Card, Cash"
99,18-24,Male,Student/Undergraduate,Colombo,Once a month,"Physical retail stores, Online fashion stores/ web-sites",Equally prefer both,"Availability of a wide range of options, Competitive pricing, Ability to try on products before purchasing",Casual Wear,"No, I explore various brands","Brand's commitment to sustainability, Trendiness and style, Promotions and Discounts",Very likely,"Percentage discounts, Buy-one-get-one(BOGO) deals, Other","Social media updates, In store notifications, Leaflets",Rs.2000-Rs.5000,"Credit/Debit Card, Cash"
100,18-24,Male,Other,Maharagama,Rarely,"Physical retail stores, Boutiques",Depends on the occasion,"Convenience, Ability to try on products before purchasing, Environmental considerations (eg. reduce carbon emission)",Casual Wear,"No, I explore various brands","Brand reputation and quality, Price and affordability, Trendiness and style",Likely,"Percentage discounts, Buy-one-get-one(BOGO) deals, Seasonal sales","Email newsletters, Social media updates, In store notifications",Rs.5000-Rs.10000,"Credit/Debit Card, Cash"
101,18-24,Male,Student/Undergraduate,Other,Once a month,"Physical retail stores, Online fashion stores/ web-sites",Physical retail stores,"Availability of a wide range of options, Ability to try on products before purchasing, Environmental considerations (eg. reduce carbon emission)","Casual Wear, Formal Wear","No, I explore various brands","Brand reputation and quality, Price and affordability, Trendiness and style",Likely,"Percentage discounts, Seasonal sales, Free shipping","Email newsletters, SMS/text messages, In store notifications",Rs.2000-Rs.5000,"Credit/Debit Card, Cash, Online Payment Platforms"
102,18-24,Female,Student/Undergraduate,Colombo,Multiple times a month,"Physical retail stores, Online fashion stores/ web-sites",Online fashion stores,"Convenience, Availability of a wide range of options, Competitive pricing","Casual Wear, Formal Wear, Accessories(e.g.bags,jewellary","No, I explore various brands","Brand reputation and quality, Price and affordability, Promotions and Discounts",Very likely,"Buy-one-get-one(BOGO) deals, Seasonal sales, Free shipping","SMS/text messages, Social media updates, In store notifications",Rs.5000-Rs.10000,"Credit/Debit Card, Cash, Online Payment Platforms"
103,18-24,Female,Student/Undergraduate,Other,Once a month,"Physical retail stores, Boutiques",Physical retail stores,"Availability of a wide range of options, Personalized shopping experience, Ability to try on products before purchasing","Casual Wear, Athletic/Activewear, Accessories(e.g.bags,jewellary","No, I explore various brands","Price and affordability, Trendiness and style, Promotions and Discounts",Likely,"Percentage discounts, Seasonal sales, Loyalty rewards programs","Social media updates, In store notifications, Leaflets",Rs.5000-Rs.10000,"Credit/Debit Card, Cash"
104,18-24,Male,Student/Undergraduate,Other,Rarely,"Physical retail stores, Online fashion stores/ web-sites",Physical retail stores,"Availability of a wide range of options, Personalized shopping experience, Ability to try on products before purchasing","Casual Wear, Formal Wear","No, I explore various brands","Brand reputation and quality, Price and affordability, Trendiness and style",Neutral,"Seasonal sales, Loyalty rewards programs, Free shipping","SMS/text messages, Social media updates, In store notifications",Rs.2000-Rs.5000,"Credit/Debit Card, Cash"
105,18-24,Female,Student/Undergraduate,Other,Rarely,"Physical retail stores, Online fashion stores/ web-sites",Physical retail stores,"Convenience, Availability of a wide range of options, Ability to try on products before purchasing",Casual Wear,"Yes, I have preferred brands","Brand reputation and quality, Trendiness and style, Promotions and Discounts",Very likely,"Percentage discounts, Buy-one-get-one(BOGO) deals, Loyalty rewards programs","SMS/text messages, Social media updates, Leaflets",Rs.5000-Rs.10000,Cash
106,18-24,Female,Student/Undergraduate,Other,Once a month,"Physical retail stores, Online fashion stores/ web-sites",Online fashion stores,"Availability of a wide range of options, Competitive pricing, Ability to try on products before purchasing","Casual Wear, Formal Wear","Yes, I have preferred brands","Brand reputation and quality, Price and affordability, Brand's commitment to sustainability",Very likely,"Percentage discounts, Buy-one-get-one(BOGO) deals, Free shipping","Email newsletters, SMS/text messages, Social media updates",Rs.5000-Rs.10000,"Credit/Debit Card, Cash"
107,18-24,Female,Student/Undergraduate,Colombo,Rarely,"Physical retail stores, Thrift/ Second Hand shops",Physical retail stores,"Convenience, Availability of a wide range of options, Competitive pricing","Casual Wear, Accessories(e.g.bags,jewellary","No, I explore various brands","Brand reputation and quality, Price and affordability, Trendiness and style",Neutral,"Percentage discounts, Buy-one-get-one(BOGO) deals, Seasonal sales","Social media updates, In store notifications, Leaflets",Rs.2000-Rs.5000,Cash
108,25-30,Male,"Office Worker (e.g., Administrative, Clerical, etc.)",Homagama,Every few weeks,"Physical retail stores, Online fashion stores/ web-sites",Physical retail stores,"Availability of a wide range of options, Personalized shopping experience, Competitive pricing","Casual Wear, Formal Wear","Yes, I have preferred brands","Brand reputation and quality, Price and affordability, Brand's commitment to sustainability",Likely,"Percentage discounts, Buy-one-get-one(BOGO) deals, Seasonal sales","Email newsletters, Social media updates, In store notifications",Rs.5000-Rs.10000,"Credit/Debit Card, Cash"
109,18-24,Female,Student/Undergraduate,Homagama,Multiple times a month,"Physical retail stores, Online fashion stores/ web-sites",Physical retail stores,"Personalized shopping experience, Competitive pricing, Ability to try on products before purchasing","Casual Wear, Accessories(e.g.bags,jewellary","No, I explore various brands","Price and affordability, Trendiness and style, Promotions and Discounts",Very likely,"Percentage discounts, Buy-one-get-one(BOGO) deals, Seasonal sales","SMS/text messages, Social media updates, In store notifications",Rs.5000-Rs.10000,"Credit/Debit Card, Cash, Online Payment Platforms"
110,18-24,Female,Student/Undergraduate,Other,Rarely,"Physical retail stores, Online fashion stores/ web-sites",Physical retail stores,"Convenience, Availability of a wide range of options, Personalized shopping experience",Casual Wear,"No, I explore various brands","Brand reputation and quality, Price and affordability, Trendiness and style",Likely,"Percentage discounts, Seasonal sales, Free shipping","Email newsletters, SMS/text messages, In store notifications",Rs.2000-Rs.5000,Cash
111,18-24,Male,Student/Undergraduate,Piliyandala,Rarely,"Physical retail stores, Online fashion stores/ web-sites",Equally prefer both,"Convenience, Competitive pricing, Ability to try on products before purchasing",Casual Wear,"No, I explore various brands","Price and affordability, Brand's commitment to sustainability, Trendiness and style",Very likely,"Percentage discounts, Seasonal sales, Free shipping","Social media updates, In store notifications, Leaflets",Rs.2000-Rs.5000,Credit/Debit Card
112,25-30,Male,"Office Worker (e.g., Administrative, Clerical, etc.)",Kottawa,Once a month,"Online fashion stores/ web-sites, Department stores",Depends on the occasion,"Competitive pricing, Ability to try on products before purchasing, Environmental considerations (eg. reduce carbon emission)","Casual Wear, Formal Wear","No, I explore various brands","Brand's commitment to sustainability, Trendiness and style, Promotions and Discounts",Very likely,"Percentage discounts, Buy-one-get-one(BOGO) deals, Loyalty rewards programs","SMS/text messages, Social media updates, Leaflets",Rs.5000-Rs.10000,Credit/Debit Card
113,18-24,Male,Student/Undergraduate,Piliyandala,Rarely,"Physical retail stores, Online fashion stores/ web-sites",Physical retail stores,"Availability of a wide range of options, Personalized shopping experience, Ability to try on products before purchasing","Casual Wear, Formal Wear","Yes, I have preferred brands","Brand reputation and quality, Price and affordability, Trendiness and style",Very likely,"Percentage discounts, Buy-one-get-one(BOGO) deals, Free shipping","Email newsletters, SMS/text messages, Social media updates",Rs.2000-Rs.5000,"Credit/Debit Card, Cash"
114,18-24,Female,Student/Undergraduate,Maharagama,Rarely,"Physical retail stores, Online fashion stores/ web-sites",Physical retail stores,"Personalized shopping experience, Competitive pricing, Ability to try on products before purchasing","Casual Wear, Formal Wear, Accessories(e.g.bags,jewellary","Yes, I have preferred brands","Brand reputation and quality, Price and affordability, Trendiness and style",Very likely,"Percentage discounts, Seasonal sales, Free shipping","SMS/text messages, Social media updates, In store notifications",Rs.5000-Rs.10000,"Credit/Debit Card, Cash"
115,18-24,Male,Student/Undergraduate,Colombo,Rarely,"Physical retail stores, Online fashion stores/ web-sites",Physical retail stores,"Convenience, Personalized shopping experience, Competitive pricing",Casual Wear,"Yes, I have preferred brands","Brand reputation and quality, Price and affordability, Promotions and Discounts",Likely,"Percentage discounts, Seasonal sales, Free shipping","Email newsletters, SMS/text messages, In store notifications",Less than Rs.2000,"Credit/Debit Card, Cash, Mobile Payment Apps, Online Payment Platforms"
116,18-24,Male,"Office Worker (e.g., Administrative, Clerical, etc.)",Homagama,Multiple times a month,"Physical retail stores, Online fashion stores/ web-sites",Depends on the occasion,"Convenience, Availability of a wide range of options, Personalized shopping experience",Casual Wear,"Yes, I have preferred brands","Brand reputation and quality, Price and affordability, Trendiness and style",Neutral,"Percentage discounts, Buy-one-get-one(BOGO) deals, Seasonal sales","Email newsletters, Social media updates, In store notifications",Rs.5000-Rs.10000,"Credit/Debit Card, Online Payment Platforms"
117,18-24,Male,Student/Undergraduate,Homagama,Rarely,"Physical retail stores, Online fashion stores/ web-sites",Equally prefer both,"Availability of a wide range of options, Personalized shopping experience, Competitive pricing",Formal Wear,"Yes, I have preferred brands","Brand reputation and quality, Price and affordability, Brand's commitment to sustainability",Neutral,"Percentage discounts, Buy-one-get-one(BOGO) deals, Seasonal sales","Email newsletters, SMS/text messages, Social media updates",Rs.2000-Rs.5000,"Credit/Debit Card, Cash"
118,18-24,Male,Student/Undergraduate,Homagama,Rarely,"Physical retail stores, Online fashion stores/ web-sites",Physical retail stores,"Convenience, Personalized shopping experience, Competitive pricing","Casual Wear, Formal Wear, Athletic/Activewear","Yes, I have preferred brands","Brand reputation and quality, Price and affordability, Brand's commitment to sustainability",Likely,"Percentage discounts, Buy-one-get-one(BOGO) deals, Seasonal sales","Social media updates, In store notifications, Leaflets",Rs.2000-Rs.5000,"Credit/Debit Card, Cash, Mobile Payment Apps, Online Payment Platforms"
119,18-24,Female,Student/Undergraduate,Other,Once a month,"Physical retail stores, Online fashion stores/ web-sites",Physical retail stores,"Convenience, Availability of a wide range of options, Ability to try on products before purchasing","Casual Wear, Accessories(e.g.bags,jewellary","No, I explore various brands","Brand reputation and quality, Price and affordability, Trendiness and style",Likely,"Buy-one-get-one(BOGO) deals, Seasonal sales, Free shipping","Email newsletters, SMS/text messages, Social media updates",More than 10000,"Credit/Debit Card, Cash"
120,25-30,Male,Student/Undergraduate,Piliyandala,Rarely,"Physical retail stores, Online fashion stores/ web-sites",Physical retail stores,"Availability of a wide range of options, Competitive pricing, Ability to try on products before purchasing",Casual Wear,"Yes, I have preferred brands","Brand reputation and quality, Trendiness and style, Promotions and Discounts",Likely,"Percentage discounts, Seasonal sales, Free shipping","SMS/text messages, Social media updates, In store notifications",Rs.2000-Rs.5000,Credit/Debit Card
121,25-30,Male,"Office Worker (e.g., Administrative, Clerical, etc.)",Piliyandala,Once a month,"Physical retail stores, Department stores",Equally prefer both,"Convenience, Competitive pricing, Ability to try on products before purchasing",Casual Wear,"Yes, I have preferred brands","Brand reputation and quality, Price and affordability, Promotions and Discounts",Likely,"Percentage discounts, Seasonal sales, Free shipping","Email newsletters, SMS/text messages, Social media updates",Rs.2000-Rs.5000,Credit/Debit Card
122,18-24,Female,Student/Undergraduate,Other,Multiple times a month,"Physical retail stores, Boutiques",Depends on the occasion,"Convenience, Availability of a wide range of options, Ability to try on products before purchasing","Casual Wear, Accessories(e.g.bags,jewellary","No, I explore various brands","Price and affordability, Trendiness and style, Promotions and Discounts",Very likely,"Percentage discounts, Buy-one-get-one(BOGO) deals, Seasonal sales","Social media updates, In store notifications, Leaflets",Rs.5000-Rs.10000,"Credit/Debit Card, Cash"
123,18-24,Male,Other,Kottawa,Once a month,"Physical retail stores, Online fashion stores/ web-sites",Physical retail stores,"Convenience, Availability of a wide range of options, Personalized shopping experience",Casual Wear,"No, I explore various brands","Brand reputation and quality, Brand's commitment to sustainability, Trendiness and style",Neutral,"Percentage discounts, Buy-one-get-one(BOGO) deals, Free shipping","Email newsletters, SMS/text messages, Social media updates",Rs.2000-Rs.5000,Credit/Debit Card
124,18-24,Male,Student/Undergraduate,Colombo,Once a month,"Physical retail stores, Boutiques",Physical retail stores,"Convenience, Availability of a wide range of options, Ability to try on products before purchasing",Casual Wear,"Yes, I have preferred brands","Brand reputation and quality, Price and affordability, Promotions and Discounts",Neutral,"Percentage discounts, Seasonal sales, Other","SMS/text messages, Social media updates, Leaflets",Rs.2000-Rs.5000,"Credit/Debit Card, Cash"
125,18-24,Male,Student/Undergraduate,Colombo,Once a month,"Physical retail stores, Online fashion stores/ web-sites",Physical retail stores,"Availability of a wide range of options, Personalized shopping experience, Competitive pricing","Casual Wear, Formal Wear, Accessories(e.g.bags,jewellary","Yes, I have preferred brands","Price and affordability, Brand's commitment to sustainability, Trendiness and style",Likely,"Seasonal sales, Loyalty rewards programs, Free shipping","Email newsletters, SMS/text messages, Social media updates",Rs.2000-Rs.5000,"Credit/Debit Card, Cash, Mobile Payment Apps, Online Payment Platforms"
126,18-24,Male,Student/Undergraduate,Colombo,Once a month,"Physical retail stores, Online fashion stores/ web-sites",Equally prefer both,"Convenience, Availability of a wide range of options, Personalized shopping experience",Casual Wear,"Yes, I have preferred brands","Brand reputation and quality, Price and affordability, Promotions and Discounts",Very likely,"Percentage discounts, Buy-one-get-one(BOGO) deals, Other","Email newsletters, Social media updates, In store notifications",Rs.5000-Rs.10000,Credit/Debit Card
127,18-24,Male,Other,Colombo,Multiple times a month,"Online fashion stores/ web-sites, Department stores",Online fashion stores,"Availability of a wide range of options, Personalized shopping experience, Competitive pricing",Casual Wear,"Yes, I have preferred brands","Brand reputation and quality, Price and affordability, Brand's commitment to sustainability",Neutral,"Buy-one-get-one(BOGO) deals, Seasonal sales, Other","SMS/text messages, Social media updates, In store notifications",Less than Rs.2000,Cash
128,18-24,Female,Student/Undergraduate,Colombo,Once a month,"Physical retail stores, Online fashion stores/ web-sites",Equally prefer both,"Availability of a wide range of options, Personalized shopping experience, Ability to try on products before purchasing","Casual Wear, Accessories(e.g.bags,jewellary","No, I explore various brands","Price and affordability, Trendiness and style, Promotions and Discounts",Very likely,"Percentage discounts, Buy-one-get-one(BOGO) deals, Free shipping","SMS/text messages, Social media updates, Leaflets",Rs.2000-Rs.5000,"Cash, Online Payment Platforms"
129,18-24,Male,Student/Undergraduate,Other,Once a month,"Physical retail stores, Online fashion stores/ web-sites",Physical retail stores,"Convenience, Personalized shopping experience, Competitive pricing",Casual Wear,"Yes, I have preferred brands","Brand reputation and quality, Price and affordability, Brand's commitment to sustainability",Likely,"Seasonal sales, Loyalty rewards programs, Free shipping","Email newsletters, SMS/text messages, Social media updates",Rs.2000-Rs.5000,Cash
130,18-24,Female,Student/Undergraduate,Colombo,Once a month,"Physical retail stores, Online fashion stores/ web-sites",Physical retail stores,"Convenience, Competitive pricing, Ability to try on products before purchasing","Casual Wear, Accessories(e.g.bags,jewellary","Yes, I have preferred brands","Brand reputation and quality, Price and affordability, Trendiness and style",Very likely,"Percentage discounts, Seasonal sales, Loyalty rewards programs","Email newsletters, SMS/text messages, Social media updates",Rs.2000-Rs.5000,Credit/Debit Card
131,18-24,Female,Student/Undergraduate,Piliyandala,Multiple times a month,"Physical retail stores, Online fashion stores/ web-sites",Equally prefer both,"Convenience, Availability of a wide range of options, Ability to try on products before purchasing","Casual Wear, Formal Wear","No, I explore various brands","Brand reputation and quality, Price and affordability, Trendiness and style",Very likely,"Percentage discounts, Seasonal sales, Free shipping","SMS/text messages, Social media updates, In store notifications",Rs.2000-Rs.5000,Cash
132,18-24,Female,Student/Undergraduate,Maharagama,Once a month,"Physical retail stores, Online fashion stores/ web-sites",Physical retail stores,"Convenience, Availability of a wide range of options, Personalized shopping experience","Casual Wear, Formal Wear","No, I explore various brands","Price and affordability, Trendiness and style, Promotions and Discounts",Likely,"Percentage discounts, Buy-one-get-one(BOGO) deals, Seasonal sales","SMS/text messages, Social media updates, In store notifications",Rs.2000-Rs.5000,"Credit/Debit Card, Cash, Mobile Payment Apps, Online Payment Platforms"
133,18-24,Male,"Office Worker (e.g., Administrative, Clerical, etc.)",Other,Multiple times a month,"Physical retail stores, Online fashion stores/ web-sites",Depends on the occasion,"Availability of a wide range of options, Personalized shopping experience, Competitive pricing","Casual Wear, Formal Wear, Athletic/Activewear, Accessories(e.g.bags,jewellary","No, I explore various brands","Price and affordability, Trendiness and style, Promotions and Discounts",Likely,"Buy-one-get-one(BOGO) deals, Seasonal sales, Free shipping","SMS/text messages, Social media updates, Leaflets",Less than Rs.2000,"Credit/Debit Card, Cash"
134,25-30,Male,"Professional (e.g., Engineer, Doctor, Lawyer, etc.)",Colombo,Rarely,"Physical retail stores, Online fashion stores/ web-sites",Physical retail stores,"Availability of a wide range of options, Personalized shopping experience, Competitive pricing","Casual Wear, Formal Wear, Athletic/Activewear","No, I explore various brands","Price and affordability, Trendiness and style, Promotions and Discounts",Likely,"Percentage discounts, Seasonal sales, Loyalty rewards programs","SMS/text messages, Social media updates, In store notifications",Rs.2000-Rs.5000,"Credit/Debit Card, Cash, Mobile Payment Apps, Online Payment Platforms"
